Emp_ID,Education,JoiningYear,City,PaymentTier,Age,Gender,Experience
1,Bachelors,2017,Bangalore,3,34,Male,0
2,Bachelors,2013,Pune,1,28,Female,3
3,Bachelors,2014,New Delhi,3,38,Female,2
4,Masters,2016,Bangalore,3,27,Male,5
5,Masters,2017,Pune,3,24,Male,2
6,Bachelors,2016,Bangalore,3,22,Male,0
7,Bachelors,2015,New Delhi,3,38,Male,0
8,Bachelors,2016,Bangalore,3,34,Female,2
9,Bachelors,2016,Pune,3,23,Male,1
10,Masters,2017,New Delhi,2,37,Male,2
11,Masters,2012,Bangalore,3,27,Male,5
12,Bachelors,2016,Pune,3,34,Male,3
13,Bachelors,2018,Pune,3,32,Male,5
14,Bachelors,2016,Bangalore,3,39,Male,2
15,Bachelors,2012,Bangalore,3,37,Male,4
16,Bachelors,2017,Bangalore,1,29,Male,3
17,Bachelors,2014,Bangalore,3,34,Female,2
18,Bachelors,2014,Pune,3,34,Male,4
19,Bachelors,2015,Pune,2,30,Female,0
20,Bachelors,2016,New Delhi,2,22,Female,0
21,Bachelors,2012,Bangalore,3,37,Male,0
22,Masters,2017,New Delhi,2,28,Male,4
23,Bachelors,2017,New Delhi,2,36,Male,3
24,Bachelors,2015,Bangalore,3,27,Male,5
25,Bachelors,2017,Bangalore,3,29,Male,4
26,Bachelors,2013,Bangalore,3,22,Female,0
27,Bachelors,2016,Bangalore,3,37,Male,2
28,Bachelors,2015,Bangalore,3,23,Male,1
29,Bachelors,2013,Pune,2,31,Female,2
30,Masters,2017,New Delhi,2,30,Female,2
31,PHD,2013,New Delhi,3,25,Male,3
32,Bachelors,2014,Bangalore,3,23,Male,1
33,Bachelors,2018,Bangalore,3,26,Male,4
34,Bachelors,2016,Bangalore,3,40,Male,5
35,Bachelors,2017,Pune,2,37,Female,0
36,Bachelors,2014,Bangalore,1,30,Female,3
37,Bachelors,2012,New Delhi,3,29,Male,3
38,Bachelors,2018,New Delhi,2,34,Female,0
39,Bachelors,2017,Pune,2,29,Female,2
40,Bachelors,2014,Pune,3,30,Male,4
41,Bachelors,2015,Bangalore,3,36,Male,1
42,Masters,2017,New Delhi,2,23,Male,1
43,Bachelors,2013,Bangalore,3,30,Male,3
44,Bachelors,2014,Bangalore,3,36,Male,0
45,Bachelors,2015,Pune,3,39,Male,4
46,Bachelors,2014,Bangalore,3,23,Female,1
47,PHD,2012,New Delhi,3,27,Male,5
48,Masters,2013,New Delhi,3,35,Male,2
49,Masters,2017,New Delhi,2,34,Male,0
50,Bachelors,2013,Bangalore,3,30,Female,1
51,PHD,2017,New Delhi,3,34,Male,2
52,Bachelors,2015,Pune,2,26,Female,4
53,Bachelors,2016,Bangalore,3,34,Female,0
54,Bachelors,2014,Bangalore,3,31,Female,5
55,Bachelors,2017,New Delhi,3,31,Female,5
56,PHD,2013,New Delhi,3,28,Male,2
57,Bachelors,2016,Bangalore,3,38,Male,2
58,Masters,2014,Pune,3,39,Female,2
59,Bachelors,2013,Pune,3,32,Male,4
60,Masters,2017,Pune,2,36,Male,2
61,Masters,2013,New Delhi,3,29,Male,3
62,Bachelors,2015,Bangalore,3,30,Male,5
63,PHD,2013,Bangalore,2,25,Male,3
64,Bachelors,2014,Pune,1,22,Female,0
65,Bachelors,2016,Bangalore,3,34,Male,4
66,Bachelors,2018,Bangalore,3,40,Male,1
67,PHD,2013,Bangalore,3,26,Male,4
68,Bachelors,2014,New Delhi,3,28,Male,0
69,Bachelors,2015,Bangalore,3,24,Female,2
70,Masters,2017,Bangalore,3,40,Female,2
71,Bachelors,2018,Bangalore,3,23,Female,1
72,Masters,2017,Bangalore,3,31,Male,4
73,Bachelors,2014,Pune,3,25,Female,3
74,Bachelors,2014,Bangalore,1,27,Male,5
75,Masters,2017,New Delhi,2,25,Female,3
76,Bachelors,2015,Bangalore,3,40,Male,0
77,Bachelors,2014,Bangalore,1,23,Female,1
78,Bachelors,2017,Bangalore,3,23,Female,1
79,Bachelors,2012,Bangalore,3,39,Male,1
80,PHD,2015,New Delhi,1,37,Male,1
81,Bachelors,2017,Pune,3,38,Male,2
82,Bachelors,2013,Bangalore,3,31,Female,0
83,Bachelors,2016,Bangalore,3,38,Male,5
84,Bachelors,2017,Bangalore,3,25,Female,3
85,Bachelors,2015,Bangalore,3,27,Female,5
86,Bachelors,2016,Pune,2,36,Male,0
87,Bachelors,2017,Pune,2,27,Female,5
88,Masters,2015,Pune,2,32,Female,4
89,Bachelors,2014,Bangalore,3,28,Male,4
90,Masters,2012,New Delhi,3,32,Male,2
91,Bachelors,2018,Bangalore,3,30,Male,0
92,Bachelors,2015,New Delhi,3,22,Male,0
93,Bachelors,2017,New Delhi,2,34,Female,5
94,Masters,2013,New Delhi,3,36,Male,2
95,Bachelors,2014,Bangalore,3,39,Male,3
96,PHD,2018,Bangalore,3,26,Male,4
97,Bachelors,2016,Bangalore,3,31,Female,0
98,Bachelors,2014,Bangalore,3,27,Male,5
99,Bachelors,2014,Bangalore,3,29,Female,0
100,Bachelors,2015,Bangalore,3,24,Female,2
101,Masters,2012,Pune,3,25,Male,3
102,Bachelors,2013,Pune,3,25,Male,3
103,Masters,2017,New Delhi,3,26,Female,4
104,Bachelors,2015,Pune,2,28,Female,1
105,Bachelors,2017,New Delhi,3,28,Male,2
106,Masters,2015,Pune,1,28,Female,3
107,Masters,2015,New Delhi,3,25,Male,3
108,Bachelors,2017,Bangalore,3,28,Male,1
109,Masters,2013,Pune,3,25,Male,3
110,Bachelors,2015,Bangalore,2,25,Female,3
111,Bachelors,2015,Bangalore,3,27,Female,5
112,Bachelors,2017,Pune,2,27,Female,5
113,Bachelors,2013,Bangalore,3,27,Male,5
114,Bachelors,2012,Bangalore,3,25,Male,3
115,Masters,2017,New Delhi,2,28,Male,2
116,Bachelors,2014,Pune,1,26,Female,4
117,Bachelors,2015,Bangalore,3,28,Male,2
118,Masters,2013,New Delhi,3,26,Male,4
119,Bachelors,2017,Bangalore,3,26,Female,4
120,Bachelors,2017,New Delhi,2,25,Male,3
121,Bachelors,2012,Bangalore,1,28,Female,3
122,PHD,2015,New Delhi,3,26,Male,4
123,Bachelors,2015,New Delhi,3,25,Female,3
124,Bachelors,2012,Bangalore,3,26,Male,4
125,Bachelors,2014,Bangalore,3,28,Female,3
126,Masters,2014,Pune,3,24,Male,2
127,Bachelors,2013,Bangalore,3,28,Male,1
128,Bachelors,2015,Pune,3,27,Male,5
129,Bachelors,2018,Bangalore,3,25,Male,3
130,Masters,2013,Pune,1,24,Male,2
131,Bachelors,2017,Bangalore,3,26,Female,4
132,Bachelors,2013,Bangalore,3,28,Male,1
133,Masters,2016,New Delhi,3,27,Male,5
134,Masters,2017,Bangalore,3,26,Male,4
135,Masters,2017,New Delhi,2,24,Male,2
136,Masters,2018,New Delhi,3,26,Male,4
137,Masters,2017,New Delhi,1,25,Female,3
138,Bachelors,2012,Pune,3,28,Male,2
139,Bachelors,2017,New Delhi,3,28,Male,2
140,Bachelors,2013,Bangalore,3,26,Male,4
141,Masters,2013,New Delhi,3,27,Male,5
142,Bachelors,2017,Pune,2,24,Female,2
143,Bachelors,2017,New Delhi,3,28,Female,2
144,Bachelors,2016,Bangalore,3,26,Male,4
145,Bachelors,2013,Bangalore,3,27,Female,5
146,Masters,2015,Pune,2,28,Female,3
147,Bachelors,2014,Bangalore,3,25,Male,3
148,Bachelors,2016,Pune,3,28,Male,1
149,Masters,2013,Bangalore,1,25,Male,3
150,Bachelors,2015,Pune,3,26,Male,4
151,Bachelors,2018,New Delhi,3,27,Female,5
152,Bachelors,2016,Bangalore,3,24,Male,2
153,Bachelors,2012,Pune,2,24,Female,2
154,Bachelors,2014,Bangalore,3,26,Male,4
155,Bachelors,2016,Pune,2,24,Female,2
156,Masters,2012,New Delhi,3,26,Female,4
157,Bachelors,2013,Bangalore,3,28,Female,3
158,Bachelors,2012,Bangalore,3,24,Male,2
159,Bachelors,2015,Bangalore,3,25,Male,3
160,Bachelors,2016,Bangalore,3,28,Male,3
161,Bachelors,2014,Bangalore,3,28,Female,3
162,Bachelors,2013,Bangalore,3,26,Female,4
163,Masters,2017,New Delhi,3,24,Female,2
164,Bachelors,2016,Bangalore,3,25,Male,3
165,Bachelors,2015,Bangalore,3,25,Male,3
166,Bachelors,2014,Bangalore,3,27,Male,5
167,Bachelors,2012,Bangalore,3,24,Male,2
168,Bachelors,2014,Bangalore,3,25,Male,3
169,Bachelors,2015,Bangalore,3,28,Male,3
170,Masters,2015,New Delhi,3,26,Male,4
171,Bachelors,2014,New Delhi,3,28,Female,1
172,Bachelors,2015,Pune,3,25,Male,3
173,Masters,2015,Pune,2,28,Female,2
174,Bachelors,2014,Bangalore,3,27,Female,5
175,Bachelors,2013,Bangalore,3,26,Male,4
176,Bachelors,2016,Bangalore,3,26,Male,4
177,Bachelors,2012,Bangalore,3,25,Male,3
178,Bachelors,2015,Bangalore,3,25,Male,3
179,Bachelors,2014,New Delhi,3,24,Female,2
180,Bachelors,2012,Bangalore,3,27,Male,5
181,Masters,2017,New Delhi,3,27,Male,5
